,Open,High,Low,Close
0,1.0596035400560817,1.0689710589860075,1.025665527687561,1.066744290284227
1,1.0721958712803492,1.073347567336141,1.038104262092736,1.0568392990092694
2,1.0501594238485958,1.0639803649081139,1.0204443712802898,1.04155966209969
3,1.0404846025278114,1.0641337399411275,1.0260495030074601,1.0488540241859663
4,1.0580678453165446,1.0721958635858262,1.0292742725149044,1.0507734969723987
5,1.049161081140119,1.0603714311784314,1.0293510875620753,1.0469344295669227
6,1.0469343738996302,1.1009127167016888,1.027431461272999,1.0930040912609102
7,1.0980717994300777,1.1375381905611603,1.0960754869559197,1.1147336684298688
8,1.1191102192468736,1.12233508540764,0.9582501459846531,0.9891936301524991
9,0.9915739005732118,1.017296206866434,0.9766780062179502,0.9832813372054986
10,0.9738371308466356,0.9824367745881614,0.945350693791473,0.9660820447605702
11,0.9675409767141732,0.9986380044120613,0.9564842245118937,0.9954898785730916
12,0.9809779303663468,0.9972559193452093,0.9685390847577244,0.9825903635521662
13,1.0020994453231913,1.0087868525340569,0.9848366655392051,0.9996111712219676
14,0.9921461206624398,1.0072316755771027,0.9851477236199934,0.9917573537859423
15,0.9937791309295909,1.0120527757151787,0.9771383900622109,0.9894245029503594
16,0.9968117912702171,1.038646974998606,0.9839812978987723,1.0
17,1.006065236742297,1.0544322700123303,0.994167832184525,1.0440122743918938
18,1.0479002908295083,1.0647743024429621,1.0134524516891743,1.020606402328075
19,1.0189734504739365,1.04898900558903,1.0120527713266967,1.0466562857159913
20,1.0419906929542169,1.0610419915947737,1.0362363732780084,1.056998412399246
21,1.0382580412599776,1.1276047636469464,1.0090978590390431,1.0686623010793272
22,1.0678849069625291,1.0714618233366653,1.034447869915708,1.0423794737391634
23,1.0447899545618522,1.0559096477440966,1.026982854453955,1.0298599546319722
24,1.0315707952850588,1.04440122999805,1.0093312881035978,1.0425350539834208
25,1.0287713811143517,1.0521772475883895,1.0172628609817556,1.048367059239767
26,1.0704009207423701,1.0915759551632407,1.0572551078739916,1.0683543082386988
27,1.0716603520910648,1.0716603520910648,0.9871964836404789,0.9887708100759955
28,0.9932577167536797,1.0305698061830528,0.9882985343794713,1.0135667922314167
29,1.0121499532916893,1.0256893772332423,0.960432541644891,0.9893218589755851
30,0.98656677693129,1.0001848754239704,0.9780652696307491,0.9927067344072228
31,0.985149858112095,1.001444383727634,0.9663363740458301,0.9744442696823324
