,Open,High,Low,Close
0,1.0637513900051816,1.0809470722261019,1.0332017269854323,1.0518608081737935
1,1.0521046742640896,1.0846056598818947,1.043689851090524,1.0638124242384344
2,1.0669222911068186,1.100094033850826,1.053446235725494,1.078020136970094
3,1.0711381630893433,1.1040427215320872,1.0628357095396406,1.0965949282087817
4,1.0998304030901351,1.1357873317715268,1.0907343034629027,1.1119787807385
5,1.117351072235917,1.1651512197521052,1.1067898932268945,1.1635640201513509
6,1.1592905703285685,1.170584381280585,1.1262639840034794,1.1298047458524847
7,1.1288889080843818,1.1518427050520164,1.077303855506659,1.0845685135750065
8,1.102455411314881,1.120891759506279,1.0015440265603945,1.019491984180056
9,1.0306637683913749,1.0637514641616417,1.0052680152408058,1.0174164873041802
10,0.9492874727351734,1.003802779350839,0.9458077247464394,0.9991632085168396
11,1.0033144954997468,1.007648810632733,0.9627790078798213,0.9948289069108929
12,1.008991889957768,1.029503829642768,0.9969655391011792,1.0110674801688075
13,1.015707110252531,1.0228496479632205,0.9782850080609797,0.9973928823325126
14,0.9872589214965837,0.9880525677952848,0.9190689619235435,0.9213276867417248
15,0.9310342955527315,0.9668691993107249,0.8987402469655579,0.9612528470847375
16,0.9616113520393648,1.001222549989115,0.9572712855868193,1.0
17,1.0046458213198945,1.01289810370874,0.9822727927309104,1.002200628065189
18,0.998349629581476,1.0340486126773805,0.9979827806265569,1.0212116042182657
19,1.0252460476571317,1.0298917748137237,0.9764655860518744,0.9978605368071992
20,1.0003056838411513,1.025001529978232,0.9949263518357211,0.9989608508397937
21,0.9960877876708721,1.013631711202868,0.9842288568569597,1.0102696287647095
22,1.0315422636218643,1.112659716928449,1.002200598357259,1.0470688439120082
23,1.0387554338009106,1.1069136936501203,1.0270187856702597,1.090225657291259
24,1.0916315249016317,1.1155327636533112,1.0466409962468277,1.0544043330502941
25,1.0600892380975153,1.093404214302667,1.000672395765849,1.0071519945211216
26,1.0152821193348125,1.0380830919571318,1.012347980673408,1.032764854869765
27,1.031664599449276,1.0762271864797566,1.0304420494328272,1.0679749039127868
28,1.0633902349662727,1.1957332517981158,1.0614951752399213,1.1603399310153621
29,1.1803352413972075,1.232659968786305,1.1335184341120321,1.171400314191343
30,1.178805279154143,1.204080285291641,1.1636892447221485,1.1796620542749996
31,1.1615473536107492,1.1824160610177032,1.1474716822982602,1.1737257933013914
